,OHX29CSC,,"Coronal Caries: Lower right 2nd bicuspid/2nd primary molar (2B) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",x,,
,OHX30CSC,,"Coronal Caries: Lower right 1st molar (1M) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",x,,
,OHX31CSC,,"Coronal Caries: Lower right 2nd molar (2M) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",x,,
,OHX02SE,,"Dental Sealants: Upper right 2nd molar (2M) sealant codes. These values can be recorded as a string variable, for example:""0"", ""12"", ""13"".",x,,
,OHX03SE,,"Dental Sealants: Upper right 1st molar (1M) sealant codes. These values can be recorded as a string variable, for example:""0"", ""12"", ""13"".",x,,
,OHX04SE,,"Dental Sealants: Upper right 2nd biscuspid/2nd primary molar (2B) sealant codes. These values can be recorded as a string variable, for example:""0"", ""12"", ""13"".",x,,
,OHX05SE,,"Dental Sealants: Upper right 1st biscuspid/1st primary molar (1B) sealant codes. These values can be recorded as a string variable, for example:""0"", ""12"", ""13"".",x,,
,OHX07SE,,"Dental Sealants: Upper right lateral incisor (LI) sealant codes. These values can be recorded as a string variable, for example:""0"", ""12"", ""13"".",x,,
,OHX10SE,,"Dental Sealants: Upper left lateral incisor (LI) sealant codes. These values can be recorded as a string variable, for example:""0"", ""12"", ""13"".",x,,
,OHX12SE,,"Dental Sealants: Upper left 1st biscuspid/1st primary molar (1B) sealant codes. These values can be recorded as a string variable, for example:""0"", ""12"", ""13"".",x,,
,OHX13SE,,"Dental Sealants: Upper left 2nd bicuspid/2nd primary molar (2B) sealant codes. These values can be recorded as a string variable, for example:""0"", ""12"", ""13"".",x,,
,OHX14SE,,"Dental Sealants: Upper left 1st molar (1M) sealant codes. These values can be recorded as a string variable, for example:""0"", ""12"", ""13"".",x,,
,OHX15SE,,"Dental Sealants: Upper left 2nd molar (2M) sealant codes. These values can be recorded as a string variable, for example:""0"", ""12"", ""13"".",x,,
,OHX18SE,,"Dental Sealants: Lower left 2nd molar (2M) sealant codes. These values can be recorded as a string variable, for example:""0"", ""12"", ""13"".",x,,
,OHX19SE,,"Dental Sealants: Lower left 1st molar (1M) sealant codes. These values can be recorded as a string variable, for example:""0"", ""12"", ""13"".",x,,
,OHX20SE,,"Dental Sealants: Lower left 2nd bicuspid/2nd primary molar (2B) sealant codes. These values can be recorded as a string variable, for example:""0"", ""12"", ""13"".",x,,
,OHX21SE,,"Dental Sealants: Lower left 1st bicuspid/1st primary molar (1B) sealant codes. These values can be recorded as a string variable, for example:""0"", ""12"", ""13"".",x,,
,OHX28SE,,"Dental Sealants: Lower right 1st bicuspid/1st primary molar (1B) sealant codes. These values can be recorded as a string variable, for example:""0"", ""12"", ""13"".",x,,
,OHX29SE,,"Dental Sealants: Lower right 2nd bicuspid/2nd primary molar (2B) sealant codes. These values can be recorded as a string variable, for example:""0"", ""12"", ""13"".",x,,
,OHX30SE,,"Dental Sealants: Lower right 1st molar (1M) sealant codes. These values can be recorded as a string variable, for example:""0"", ""12"", ""13"".",x,,
,OHX31SE,,"Dental Sealants: Lower right 2nd molar (2M) sealant codes. These values can be recorded as a string variable, for example:""0"", ""12"", ""13"".",x,,
',OHDPDSTS,""":'",Periodontal Status Code,,"',","'OHDPDSTS"":'Periodontal Status Code',"
',OHDEXCLU,""":'",Excluded from perio exam for med reasons,,"',","'OHDEXCLU"":'Excluded from perio exam for med reasons',"
,OHX02CJD,,Loss of Attachment: Upper right 2nd molar (2M) distal - FGM to CEJ measurement (mm),x,,
,OHX02CJM,,Loss of Attachment: Upper right 2nd molar (2M) mid-facial - FGM to CEJ measurement (mm),x,,
,OHX02CJS,,Loss of Attachment: Upper right 2nd molar (2M) mesio-facial - FGM to CEJ measurement (mm),x,,
,OHX02CJP,,Loss of Attachment: Upper right 2nd molar (2M) distal - lingual - FGM to CEJ measurement (mm),x,,
,OHX02CJL,,Loss of Attachment: Upper right 2nd molar (2M) mid - lingual - FGM to CEJ measurement (mm),x,,
,OHX02CJA,,Loss of Attachment: Upper right 2nd molar (2M) mesio- lingual - FGM to CEJ measurement (mm),x,,
,OHX02PCD,,Loss of Attachment: Upper right 2nd molar (2M) distal - FGM to sulcus base (pocket depth) (mm),x,,
,OHX02PCM,,Loss of Attachment: Upper right 2nd molar (2M) mid-facial - FGM to sulcus base (pocket depth) (mm),x,,
,OHX02PCS,,Loss of Attachment: Upper right 2nd molar (2M) mesio-facial - FGM to sulcus base (pocket depth) (mm),x,,
,OHX02PCP,,Loss of Attachment: Upper right 2nd molar (2M) distal - lingual - FGM to sulcus base (pocket depth) (mm),x,,
,OHX02PCL,,Loss of Attachment: Upper right 2nd molar (2M) mid- lingual - FGM to sulcus base (pocket depth) (mm),x,,
,OHX02PCA,,Loss of Attachment: Upper right 2nd molar (2M) mesio- lingual - FGM to sulcus base (pocket depth) (mm),x,,
,OHX02LAD,,Loss of Attachment: Upper right 2nd molar (2M) distal - Calculation of : (FGM to CEJ measurement) - (FGM to sulcus base measurement) (mm),x,,
,OHX02LAM,,Loss of Attachment: Upper right 2nd molar (2M) mid-facial - Calculation of : (FGM to CEJ measurement) - (FGM to sulcus base measurement)(mm),x,,
,OHX02LAS,,Loss of Attachment: Upper right 2nd molar (2M) mesio-facial - Calculation of : (FGM to CEJ measurement) - (FGM to sulcus base measurement)(mm),x,,
,OHX02LAP,,Loss of Attachment: Upper right 2nd molar (2M) distal lingual - Calculation of : (FGM to CEJ measurement) - (FGM to sulcus base measurement)(mm),x,,
,OHX02LAL,,Loss of Attachment: Upper right 2nd molar (2M) mid- lingual - Calculation of : (FGM to CEJ measurement) - (FGM to sulcus base measurement)(mm),x,,
,OHX02LAA,,Loss of Attachment: Upper right 2nd molar (2M) mesio- lingual - Calculation of : (FGM to CEJ measurement) - (FGM to sulcus base measurement)(mm),x,,
,OHX03CJD,,Loss of Attachment: Upper right 1st molar (1M) distal - FGM to CEJ measurement (mm),x,,
,OHX03CJM,,Loss of Attachment: Upper right 1st molar (1M) mid-facial - FGM to CEJ measurement (mm),x,,
,OHX03CJS,,Loss of Attachment: Upper right 1st molar (1M) mesio-facial - FGM to CEJ measurement (mm),x,,
,OHX03CJP,,Loss of Attachment: Upper right 1st molar (1M) distal - lingual - FGM to CEJ measurement (mm),x,,
,OHX03CJL,,Loss of Attachment: Upper right 1st molar (1M) mid - lingual - FGM to CEJ measurement (mm),x,,
,OHX03CJA,,Loss of Attachment: Upper right 1st molar (1M) mesio- lingual - FGM to CEJ measurement (mm),x,,
,OHX03PCD,,Loss of Attachment: Upper right 1st molar (1M) distal - FGM to sulcus base (pocket depth) (mm),x,,
,OHX03PCM,,Loss of Attachment: Upper right 1st molar (1M) mid-facial - FGM to sulcus base (pocket depth) (mm),x,,
,OHX03PCS,,Loss of Attachment: Upper right 1st molar (1M) mesio-facial - FGM to sulcus base (pocket depth) (mm),x,,
,OHX03PCP,,Loss of Attachment: Upper right 1st molar (1M) distal - lingual - FGM to sulcus base (pocket depth) (mm),x,,
,OHX03PCL,,Loss of Attachment: Upper right 1st molar (1M) mid- lingual - FGM to sulcus base (pocket depth) (mm),x,,
,OHX03PCA,,Loss of Attachment: Upper right 1st molar (1M) mesio- lingual - FGM to sulcus base (pocket depth) (mm),x,,
,OHX03LAD,,Loss of Attachment: Upper right 1st molar (1M) distal - Calculation of : (FGM to CEJ measurement) - (FGM to sulcus base measurement) (mm),x,,
,OHX03LAM,,Loss of Attachment: Upper right 1st molar (1M) mid-facial - Calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm),x,,
,OHX03LAS,,Loss of Attachment: Upper right 1st molar (1M) mesio-facial - Calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm),x,,
,OHX03LAP,,Loss of Attachment: Upper right 1st molar (1M) distal lingual - Calculation of : (FGM to CEJ measurement) - (FGM to sulcus base measurement)(mm),x,,
,OHX03LAL,,Loss of Attachment: Upper right 1st molar (1M) mid- lingual - Calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm),x,,
,OHX03LAA,,Loss of Attachment: Upper right 1st molar (1M) mesio- lingual - Calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm),x,,
,OHX04CJD,,Loss of Attachment: Upper right 2nd bicuspid/2nd primary molar (2B) distal - FGM to CEJ measurement (mm),x,,
,OHX04CJM,,Loss of Attachment: Upper right 2nd bicuspid/2nd primary molar (2B) mid-facial - FGM to CEJ measurement (mm),x,,
,OHX04CJS,,Loss of Attachment: Upper right 2nd bicuspid/2nd primary molar (2B) mesio-facial - FGM to CEJ measurement (mm),x,,
,OHX04CJP,,Loss of Attachment: Upper right 2nd bicuspid/2nd primary molar (2B) distal - lingual - FGM to CEJ measurement (mm),x,,
,OHX04CJL,,Loss of Attachment: Upper right 2nd bicuspid/2nd primary molar (2B) mid - lingual - FGM to CEJ measurement (mm),x,,
,OHX04CJA,,Loss of Attachment: Upper right 2nd bicuspid/2nd primary molar (2B) mesio- lingual - FGM to CEJ measurement (mm),x,,
,OHX04PCD,,Loss of Attachment: Upper right 2nd bicuspid/2nd primary molar (2B) distal - FGM to sulcus base (pocket depth) (mm),x,,
,OHX04PCM,,Loss of Attachment: Upper right 2nd bicuspid/2nd primary molar (2B) mid-facial mid-facial - FGM to sulcus base (pocket depth) (mm),x,,
,OHX04PCS,,Loss of Attachment: Upper right 2nd bicuspid/2nd primary molar (2B) mesio-facial mesio-facial - FGM to sulcus base (pocket depth) (mm),x,,
,OHX04PCP,,Loss of Attachment: Upper right 2nd bicuspid/2nd primary molar (2B) distal - lingual - FGM to sulcus base (pocket depth) (mm),x,,
,OHX04PCL,,Loss of Attachment: Upper right 2nd bicuspid/2nd primary molar (2B) mid- lingual - FGM to sulcus base (pocket depth) (mm),x,,
,OHX04PCA,,Loss of Attachment: Upper right 2nd bicuspid/2nd primary molar (2B) mesio- lingual - FGM to sulcus base (pocket depth) (mm),x,,
,OHX04LAD,,Loss of Attachment: Upper right 2nd bicuspid/2nd primary molar (2B) distal - Calculation of : (FGM to CEJ measurement) - (FGM to sulcus base measurement) (mm),x,,
,OHX04LAM,,Loss of Attachment: Upper right 2nd bicuspid/2nd primary molar (2B) mid-facial - Calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm),x,,
,OHX04LAS,,Loss of Attachment: Upper right 2nd bicuspid/2nd primary molar (2B) mesio-facial - Calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm),x,,
,OHX04LAP,,Loss of Attachment: Upper right 2nd bicuspid/2nd primary molar (2B) distal lingual - Calculation of : (FGM to CEJ measurement) - (FGM to sulcus base measurement)(mm),x,,
,OHX04LAL,,Loss of Attachment: Upper right 2nd bicuspid/2nd primary molar (2B) mid- lingual - Calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm),x,,
,OHX04LAA,,Loss of Attachment: Upper right 2nd bicuspid/2nd primary molar (2B) mesio-lingual - Calculation of: (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm),x,,
,OHX05CJD,,Loss of Attachment: Upper right 1st bicuspid/1st primary molar (1B) distal - FGM to CEJ measurement (mm),x,,
,OHX05CJM,,Loss of Attachment: Upper right 1st bicuspid/1st primary molar (1B) mid-facial - FGM to CEJ measurement (mm),x,,
,OHX05CJS,,Loss of Attachment: Upper right 1st bicuspid/1st primary molar (1B) mesio-facial - FGM to CEJ measurement (mm),x,,
,OHX05CJP,,Loss of Attachment: Upper right 1st bicuspid/1st primary molar (1B) distal - lingual - FGM to CEJ measurement (mm),x,,
,OHX05CJL,,Loss of Attachment: Upper right 1st bicuspid/1st primary molar (1B) mid- lingual - FGM to CEJ measurement (mm),x,,
,OHX05CJA,,Loss of Attachment: Upper right 1st bicuspid/1st primary molar (1B) mesio- lingual - FGM to CEJ measurement (mm),x,,
,OHX05PCD,,Loss of Attachment: Upper right 1st bicuspid/1st primary molar (1B) distal - FGM to sulcus base (pocket depth) (mm),x,,
,OHX05PCM,,Loss of Attachment: Upper right 1st bicuspid/1st primary molar (1B) mid-facial - FGM to sulcus base (pocket depth)(mm),x,,
,OHX05PCS,,Loss of Attachment: Upper right 1st bicuspid/1st primary molar (1B) mesio-facial - FGM to sulcus base (pocket depth) (mm),x,,
,OHX05PCP,,Loss of Attachment: Upper right 1st bicuspid/1st primary molar (1B) distal - lingual - FGM to sulcus base (pocket depth) (mm),x,,
,OHX05PCL,,Loss of Attachment: Upper right 1st bicuspid/1st primary molar (1B) mid- lingual - FGM to sulcus base (pocket depth) (mm),x,,
,OHX05PCA,,Loss of Attachment: Upper right 1st bicuspid/1st primary molar (1B) mesio- lingual - FGM to sulcus base (pocket depth) (mm),x,,
,OHX05LAD,,Loss of Attachment: Upper right 1st bicuspid/1st primary molar (1B) distal - Calculation of : (FGM to CEJ measurement) - (FGM to sulcus base measurement) (mm),x,,
,OHX05LAM,,Loss of Attachment: Upper right 1st bicuspid/1st primary molar (1B) mid-facial - Calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm),x,,
,OHX05LAS,,Loss of Attachment: Upper right 1st bicuspid/1st primary molar (1B) mesio-facial - Calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm),x,,
,OHX05LAP,,Loss of Attachment: Upper right 1st bicuspid/1st primary molar (1B) distal - lingual - Calculation of: (FGM to CEJ measurement) - (FGM to sulcus base measurement) (mm),x,,
,OHX05LAL,,Loss of Attachment: Upper right 1st bicuspid/1st primary molar (1B) mid- lingual - Calculation of: (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm),x,,
,OHX05LAA,,Loss of Attachment: Upper right 1st bicuspid/1st primary molar (1B) mesio-lingual - Calculation of: (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm),x,,
,OHX06CJD,,Loss of Attachment: Upper right cuspid (C) distal - FGM to CEJ measurement (mm),x,,
,OHX06CJM,,Loss of Attachment: Upper right cuspid (C) mid-facial - FGM to CEJ measurement (mm),x,,
,OHX06CJS,,Loss of Attachment: Upper right cuspid (C) mesio-facial - FGM to CEJ measurement (mm),x,,
,OHX06CJP,,Loss of Attachment: Upper right cuspid (C) distal - lingual - FGM to CEJ measurement (mm),x,,
,OHX06CJL,,Loss of Attachment: Upper right cuspid (C) mid- lingual - FGM to CEJ measurement (mm),x,,
,OHX06CJA,,Loss of Attachment: Upper right cuspid (C) mesio- lingual - FGM to CEJ measurement (mm),x,,
,OHX06PCD,,Loss of Attachment: Upper right cuspid (C) distal - FGM to sulcus base (pocket depth) (mm),x,,
,OHX06PCM,,Loss of Attachment: Upper right cuspid (C) mid-facial - FGM to sulcus base (pocket depth) (mm),x,,
,OHX06PCS,,Loss of Attachment: Upper right cuspid (C) mesio-facial - FGM to sulcus base (pocket depth) (mm),x,,
,OHX06PCP,,Loss of Attachment: Upper right cuspid (C) distal - lingual - FGM to sulcus base (pocket depth) (mm),x,,
,OHX06PCL,,Loss of Attachment: Upper right cuspid (C) mid- lingual - FGM to sulcus base (pocket depth) (mm),x,,
,OHX06PCA,,Loss of Attachment: Upper right cuspid (C) mesio- lingual - FGM to sulcus base (pocket depth) (mm),x,,
,OHX06LAD,,Loss of Attachment: Upper right cuspid (C) distal - Calculation of : (FGM to CEJ measurement) - (FGM to sulcus base measurement) (mm),x,,
,OHX06LAM,,Loss of Attachment: Upper right cuspid (C) mid-facial - Level of attachment calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm),x,,
,OHX06LAS,,Loss of Attachment: Upper right cuspid (C) mesio-facial - Calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm),x,,
,OHX06LAP,,Loss of Attachment: Upper right cuspid (C) distal - lingual - Calculation of: (FGM to CEJ measurement) - (FGM to sulcus base measurement) (mm),x,,
,OHX06LAL,,Loss of Attachment: Upper right cuspid (C) mid- lingual - Calculation of: (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm),x,,
,OHX06LAA,,Loss of Attachment: Upper right cuspid (C) mesio-lingual - Calculation of: (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm),x,,
,OHX07CJD,,Loss of Attachment: Upper right lateral incisor (LI) distal - FGM to CEJ measurement (mm),x,,
,OHX07CJM,,Loss of Attachment: Upper right lateral incisor (LI) mid-facial - FGM to CEJ measurement (mm),x,,
,OHX07CJS,,Loss of Attachment: Upper right lateral incisor (LI) mesio-facial - FGM to CEJ measurement (mm),x,,
,OHX07CJP,,Loss of Attachment: Upper right lateral incisor (LI) distal - lingual - FGM to CEJ measurement (mm),x,,
,OHX07CJL,,Loss of Attachment: Upper right lateral incisor (LI) mid- lingual - FGM to CEJ measurement (mm),x,,
,OHX07CJA,,Loss of Attachment: Upper right lateral incisor (LI) mesio- lingual - FGM to CEJ measurement (mm),x,,
,OHX07PCD,,Loss of Attachment: Upper right lateral incisor (LI) distal - FGM to sulcus base (pocket depth) (mm),x,,
,OHX07PCM,,Loss of Attachment: Upper right lateral incisor (LI) mid-facial - FGM to sulcus base (pocket depth) (mm),x,,
,OHX07PCS,,Loss of Attachment: Upper right lateral incisor (LI) mesio-facial - FGM to sulcus base (pocket depth) (mm),x,,
,OHX07PCP,,Loss of Attachment: Upper right lateral incisor (LI) distal - lingual - FGM to sulcus base (pocket depth) (mm),x,,
,OHX07PCL,,Loss of Attachment: Upper right lateral incisor (LI) mid- lingual - FGM to sulcus base (pocket depth) (mm),x,,
,OHX07PCA,,Loss of Attachment: Upper right lateral incisor (LI) mesio- lingual - FGM to sulcus base (pocket depth) (mm),x,,
,OHX07LAD,,Loss of Attachment: Upper right lateral incisor (LI) distal - Calculation of : (FGM to CEJ measurement) - (FGM to sulcus base measurement) (mm),x,,
,OHX07LAM,,Loss of Attachment: Upper right lateral incisor (LI) mid-facial - Calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm),x,,
,OHX07LAS,,Loss of Attachment: Upper right lateral incisor (LI) mesio-facial - Calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm),x,,
,OHX07LAP,,Loss of Attachment: Upper right lateral incisor (LI) distal - lingual - Calculation of: (FGM to CEJ measurement) - (FGM to sulcus base measurement) (mm),x,,
,OHX07LAL,,Loss of Attachment: Upper right lateral incisor (LI) mid- lingual - Calculation of: (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm),x,,
,OHX07LAA,,Loss of Attachment: Upper right lateral incisor (LI) mesio-lingual - Calculation of: (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm),x,,
,OHX08CJD,,Loss of Attachment: Upper right central incisor (CI) distal - FGM to CEJ measurement (mm),x,,
,OHX08CJM,,Loss of Attachment: Upper right central incisor (CI) mid-facial - FGM to CEJ measurement (mm),x,,
,OHX08CJS,,Loss of Attachment: Upper right central incisor (CI) mesio-facial - FGM to CEJ measurement (mm),x,,
,OHX08CJP,,Loss of Attachment: Upper right central incisor (CI) distal - lingual - FGM to CEJ measurement (mm),x,,
,OHX08CJL,,Loss of Attachment: Upper right central incisor (CI) mid- lingual - FGM to CEJ measurement (mm),x,,
,OHX08CJA,,Loss of Attachment: Upper right central incisor (CI) mesio- lingual - FGM to CEJ measurement (mm),x,,
,OHX08PCD,,Loss of Attachment: Upper right central incisor (CI) distal - FGM to sulcus base (pocket depth) (mm),x,,
,OHX08PCM,,Loss of Attachment: Upper right central incisor (CI) mid-facial - FGM to sulcus base (pocket depth) (mm),x,,
